,unix,tether_mcap
232,1447718400,451600.0
233,1447804800,451600.0
234,1447891200,451600.0
235,1447977600,451600.0
236,1448064000,451600.0
237,1448150400,451600.0
238,1448236800,451600.0
239,1448323200,451600.0
240,1448409600,451600.0
241,1448496000,451600.0
242,1448582400,451600.0
243,1448668800,451600.0
244,1448755200,451600.0
245,1448841600,451600.0
246,1448928000,451600.0
247,1449014400,451600.0
248,1449100800,451600.0
249,1449187200,451600.0
250,1449273600,451600.0
251,1449360000,451600.0
252,1449446400,451600.0
253,1449532800,451600.0
254,1449619200,451600.0
255,1449705600,451600.0
256,1449792000,451600.0
257,1449878400,451600.0
258,1449964800,451600.0
259,1450051200,451600.0
260,1450137600,951600.0
261,1450224000,951600.0
262,1450310400,951600.0
263,1450396800,951600.0
264,1450483200,951600.0
265,1450569600,951600.0
266,1450656000,951600.0
267,1450742400,951723.0
268,1450828800,951638.0
269,1450915200,951600.0
270,1451001600,951600.0
271,1451088000,951600.0
272,1451174400,951600.0
273,1451260800,951600.0
274,1451347200,951600.0
275,1451433600,951600.0
276,1451520000,951600.0
277,1451606400,951600.0
278,1451692800,951600.0
279,1451779200,951600.0
280,1451865600,951476.0
281,1451952000,951600.0
282,1452038400,951600.0
283,1452124800,951600.0
284,1452211200,951600.0
285,1452297600,951600.0
286,1452384000,951600.0
287,1452470400,951600.0
288,1452556800,951599.9999999999
289,1452643200,951600.0
290,1452729600,951599.9999999998
291,1452816000,951600.0
292,1452902400,951600.0
293,1452988800,951600.0
294,1453075200,951599.9999999998
295,1453161600,1451599.9999999998
296,1453248000,1451599.9999999998
297,1453334400,1451600.0
298,1453420800,1451600.0
299,1453507200,1451599.9999999998
300,1453593600,1451600.0
301,1453680000,1451600.0
302,1453766400,1451600.0
303,1453852800,1451600.0
304,1453939200,1451599.9999999998
305,1454025600,1451600.0
306,1454112000,1451599.9999999998
307,1454198400,1451599.9999999998
308,1454284800,1451599.9999999998
309,1454371200,1451600.0
310,1454457600,1451600.0
311,1454544000,1451600.0
312,1454630400,1451600.0
313,1454716800,1451600.0
314,1454803200,1451599.9999999998
315,1454889600,1451600.0
316,1454976000,1451600.0
317,1455062400,1451600.0
318,1455148800,1451599.9999999998
319,1455235200,1451600.0
320,1455321600,1451599.9999999998
321,1455408000,1451599.9999999998
322,1455494400,1451600.0
323,1455580800,1451600.0
324,1455667200,1451599.9999999998
325,1455753600,1451599.9999999998
326,1455840000,1451600.0
327,1455926400,1451600.0
328,1456012800,1451600.0
329,1456099200,1451599.9999999995
330,1456185600,1451599.9999999998
331,1456272000,1451377.9052000004
332,1456358400,1451599.9999999998
333,1456444800,1451600.0
334,1456531200,1451600.0
335,1456617600,1451599.9999999998
336,1456704000,1451600.0
337,1456790400,1451581.1292
338,1456876800,1451552.0972
339,1456963200,1451598.5484000002
340,1457049600,1451599.9999999998
341,1457136000,1451600.0
342,1457222400,1451597.0968000002
343,1457308800,1451597.0968000002
344,1457395200,1451598.5484
345,1457481600,1451447.582
346,1457568000,1451591.2903999998
347,1457654400,1451592.742
348,1457740800,1451435.9692
349,1457827200,1451488.2268000003
350,1457913600,1451591.2904000005
351,1458000000,1451600.0
352,1458086400,1451600.0
353,1458172800,1451573.8712
354,1458259200,1451593.0968080005
355,1458345600,1451593.0968080002
356,1458432000,1451588.0968180003
357,1458518400,1451588.096818
358,1458604800,1451589.5484090005
359,1458691200,1451589.5484089996
360,1458777600,1451550.3554520002
361,1458864000,1451591.0
362,1458950400,1451590.9999999998
363,1459036800,1451591.0
364,1459123200,1451591.0
365,1459209600,1451590.9999999998
366,1459296000,1451591.0
367,1459382400,1451591.0
368,1459468800,1451591.0
369,1459555200,1451590.9999999998
370,1459641600,1451590.9999999998
371,1459728000,1451590.9999999998
372,1459814400,1451591.0
373,1459900800,1451590.9999999998
374,1459987200,1451590.9999999995
375,1460073600,1451591.0
376,1460160000,1451591.0
377,1460246400,1451591.0
378,1460332800,1451591.0
379,1460419200,1451591.0
380,1460505600,1451591.0
381,1460592000,1451591.0
382,1460678400,1451590.9999999998
383,1460764800,1451591.0
384,1460851200,1451591.0
385,1460937600,1451591.0
386,1461024000,1451591.0
387,1461110400,1451591.0
388,1461196800,1451590.9999999998
389,1461283200,1451591.0
390,1461369600,1451591.0
391,1461456000,1451590.9999999998
392,1461542400,1451591.0
393,1461628800,1451591.0
394,1461715200,1451591.0
395,1461801600,1451590.9999999998
396,1461888000,1951591.0
397,1461974400,1951590.9999999995
398,1462060800,1951591.0
399,1462147200,1951591.0
400,1462233600,1951590.9999999998
401,1462320000,1951590.9999999998
402,1462406400,1951591.0
403,1462492800,1951590.9999999995
404,1462579200,1951591.0
405,1462665600,1951591.0
406,1462752000,1951591.0
407,1462838400,1951591.0
408,1462924800,1951591.0
409,1463011200,1951591.0
410,1463097600,1951590.9999999995
411,1463184000,1951590.9999999998
412,1463270400,1951591.0
413,1463356800,1951591.0
414,1463443200,1951591.0
415,1463529600,1951590.9999999995
416,1463616000,1951591.0
417,1463702400,1951591.0
418,1463788800,1951591.0
419,1463875200,1951591.0
420,1463961600,1951591.0
421,1464048000,1951590.9999999998
422,1464134400,1951591.0
423,1464220800,1951591.0
424,1464307200,1951591.0
425,1464393600,1951591.0
426,1464480000,1951591.0
427,1464566400,1951590.9999999998
428,1464652800,1951591.0
429,1464739200,2951591.0
430,1464825600,2951591.0
431,1464912000,2951591.0
432,1464998400,2951591.0
433,1465084800,2951591.0
434,1465171200,2951591.0
435,1465257600,2951591.0
436,1465344000,2951591.0
437,1465430400,2951591.0
438,1465516800,2951591.0
439,1465603200,2951591.0
440,1465689600,2951591.0
441,1465776000,2951591.0
442,1465862400,5951591.0
443,1465948800,5951591.0
444,1466035200,5951585.048409
445,1466121600,5951585.048409
446,1466208000,5951585.048409
447,1466294400,5951585.048409
448,1466380800,5951591.0
449,1466467200,5951591.0
450,1466553600,5951591.0
451,1466640000,5951591.0
452,1466726400,5951591.0
453,1466812800,5951591.0
454,1466899200,5951591.0
455,1466985600,5951257.710904
456,1467072000,5951591.0
457,1467158400,5951591.0
458,1467244800,5951591.0
459,1467331200,5951591.0
460,1467417600,5951591.0
461,1467504000,5951591.0
462,1467590400,5951591.0
463,1467676800,5951591.0
464,1467763200,5951591.0
465,1467849600,5951537.435681
466,1467936000,5951585.048409
467,1468022400,5951585.048409
468,1468108800,5951585.048409
469,1468195200,5951591.0
470,1468281600,6951591.0
471,1468368000,6951591.0
472,1468454400,6951591.0
473,1468540800,6951591.0
474,1468627200,6951591.0
475,1468713600,6951591.0
476,1468800000,6951591.0
477,1468886400,6951591.0
478,1468972800,6951591.0
479,1469059200,6951591.0
480,1469145600,6951591.0
481,1469232000,6951591.0
482,1469318400,6951591.0
483,1469404800,6951584.048409
484,1469491200,6951591.0
485,1469577600,6951591.0
486,1469664000,6951591.0
487,1469750400,6951591.0
488,1469836800,6951591.0
489,1469923200,6951396.355452
490,1470009600,6951584.048409
491,1470096000,6951556.242045
492,1470182400,6951563.193636
493,1470268800,6951563.193636
494,1470355200,6950485.697031
495,1470441600,6948511.445187
496,1470528000,6948511.445187
497,1470614400,6948511.445187
498,1470700800,6948511.445187
499,1470787200,6771593.454236999
500,1470873600,6690162.517263001
501,1470960000,6687833.734278
502,1471046400,6951584.048409
503,1471132800,6951584.048409
504,1471219200,6951584.048409
505,1471305600,6951591.0
506,1471392000,6951591.0
507,1471478400,6951591.0
508,1471564800,6951591.0
509,1471651200,6951591.0
510,1471737600,6951591.0
511,1471824000,6951591.0
512,1471910400,6951591.0
513,1471996800,6951591.0
514,1472083200,6951591.0
515,1472169600,6951591.0
516,1472256000,6951591.0
517,1472342400,6951591.0
518,1472428800,6951591.0
519,1472515200,6951591.0
520,1472601600,6951591.0
521,1472688000,6951591.0
522,1472774400,6951591.0
523,1472860800,6951591.0
524,1472947200,6951591.0
525,1473033600,6951591.0
526,1473120000,6951591.0
527,1473206400,6951591.0
528,1473292800,6951591.0
529,1473379200,6951591.0
530,1473465600,6951591.0
531,1473552000,6951591.0
532,1473638400,6951591.0
533,1473724800,6951591.0
534,1473811200,6951591.0
535,1473897600,6951542.338863
536,1473984000,6951584.048409
537,1474070400,6951584.048409
538,1474156800,6951055.727493
539,1474243200,6951584.048408999
540,1474329600,6951584.048409
541,1474416000,6951500.629317
542,1474502400,6951584.048408999
543,1474588800,6951584.048409
544,1474675200,6951584.048409
545,1474761600,6951591.0
546,1474848000,6951591.0
547,1474934400,6951591.0
548,1475020800,6951591.0
549,1475107200,6951591.0
550,1475193600,6951591.0
551,1475280000,6951591.0
552,1475366400,6951577.096818001
553,1475452800,6951577.096818001
554,1475539200,6951591.0
555,1475625600,6951591.0
556,1475712000,6951591.0
557,1475798400,6951591.0
558,1475884800,6951591.0
559,1475971200,6951591.0
560,1476057600,6951591.0
561,1476144000,6951591.0
562,1476230400,6951591.0
563,1476316800,6951591.0
564,1476403200,6951584.048409
565,1476489600,6951591.0
566,1476576000,6951591.0
567,1476662400,6951591.0
568,1476748800,6951591.0
569,1476835200,6951591.0
570,1476921600,6951591.0
571,1477008000,6951590.0
572,1477094400,6951590.0
573,1477180800,6951590.0
574,1477267200,6951590.0
575,1477353600,6951590.0
576,1477440000,6951590.0
577,1477526400,6951590.0
578,1477612800,6951590.0
579,1477699200,6951590.0
580,1477785600,6951590.0
581,1477872000,6951590.0
582,1477958400,6951589.0
583,1478044800,6951589.0
584,1478131200,6951589.0
585,1478217600,6951589.0
586,1478304000,6951589.0
587,1478390400,6951589.0
588,1478476800,6951589.0
589,1478563200,6951589.0
590,1478649600,6951589.0
591,1478736000,6951568.145233
592,1478822400,6951589.0
593,1478908800,6951590.0
594,1478995200,6951590.0
595,1479081600,6951590.0
596,1479168000,6951590.0
597,1479254400,6951590.0
598,1479340800,6951590.0
599,1479427200,6951590.0
600,1479513600,6951590.0
601,1479600000,6951590.0
602,1479686400,6951590.0
603,1479772800,6951590.0
604,1479859200,6951590.0
605,1479945600,6951590.0
606,1480032000,6951590.0
607,1480118400,6951590.0
608,1480204800,6951590.0
609,1480291200,6951590.0
610,1480377600,6951590.0
611,1480464000,6951590.0
612,1480550400,6951590.0
613,1480636800,6951590.0
614,1480723200,6951590.0
615,1480809600,6951590.0
616,1480896000,6951590.0
617,1480982400,6951590.0
618,1481068800,6951590.0
619,1481155200,6951590.0
620,1481241600,6951590.0
621,1481328000,6951590.0
622,1481414400,6951590.0
623,1481500800,6951590.0
624,1481587200,6951590.0
625,1481673600,6951590.0
626,1481760000,6951590.0
627,1481846400,6951590.0
628,1481932800,6951590.0
629,1482019200,6951590.0
630,1482105600,6951590.0
631,1482192000,6951590.0
632,1482278400,6951590.0
633,1482364800,6951590.0
634,1482451200,6951590.0
635,1482537600,6951590.0
636,1482624000,6951590.0
637,1482710400,6951590.0
638,1482796800,6951590.0
639,1482883200,6951590.0
640,1482969600,6951590.0
641,1483056000,9951590.0
642,1483142400,9951590.0
643,1483228800,9951590.0
644,1483315200,9951590.0
645,1483401600,9951590.0
646,1483488000,9951590.0
647,1483574400,14951590.0
648,1483660800,14951591.0
649,1483747200,14951591.0
650,1483833600,14951591.0
651,1483920000,14951591.0
652,1484006400,14951571.0
653,1484092800,14951571.0
654,1484179200,14951571.0
655,1484265600,14951571.0
656,1484352000,14951571.0
657,1484438400,14951571.0
658,1484524800,14951571.0
659,1484611200,14951571.0
660,1484697600,14951571.0
661,1484784000,14951571.0
662,1484870400,14951571.0
663,1484956800,14951591.0
664,1485043200,14951591.0
665,1485129600,14951591.0
666,1485216000,14951591.0
667,1485302400,14951591.0
668,1485388800,14951591.0
669,1485475200,14951591.0
670,1485561600,14951591.0
671,1485648000,14951591.0
672,1485734400,14951591.0
673,1485820800,24951491.193636
674,1485907200,24951566.048409
675,1485993600,24951441.290454
676,1486080000,24951541.096818004
677,1486166400,24951566.048409
678,1486252800,24951566.048409
679,1486339200,24951541.096818004
680,1486425600,24951546.048429
681,1486512000,24950971.049004
682,1486598400,24950971.049004
683,1486684800,24950971.049004
684,1486771200,24950971.049004
685,1486857600,24950971.049004
686,1486944000,24950996.0
687,1487030400,24950996.0
688,1487116800,24950996.0
689,1487203200,24950996.0
690,1487289600,24950996.0
691,1487376000,24950996.0
692,1487462400,24948650.606376
693,1487548800,24950996.0
694,1487635200,24950996.0
695,1487721600,24950996.0
696,1487808000,24950996.0
697,1487894400,24950946.098008003
