,unix,total_mcap
1122,1524614400,2303558234.7199516
1123,1524700800,2431296520.073805
1124,1524787200,2430123186.5743337
1125,1524873600,2423306911.243341
1126,1524960000,2426804179.718598
1127,1525046400,2429856237.125196
1128,1525132800,2426137455.5732656
1129,1525219200,2426549903.5713377
1130,1525305600,2326757167.8088145
1131,1525392000,2384490275.5561748
1132,1525478400,2273147628.058937
1133,1525564800,2261425770.0593357
1134,1525651200,2192614336.313483
1135,1525737600,2165961437.2963414
1136,1525824000,2116785190.7592602
1137,1525910400,2120750997.0278425
1138,1525996800,2119159831.1349938
1139,1526083200,2126211544.065153
1140,1526169600,2233902239.694362
1141,1526256000,2222517385.743831
1142,1526342400,2223358641.9328666
1143,1526428800,2220534559.5983872
1144,1526515200,2329886527.83202
1145,1526601600,2327175879.8085027
1146,1526688000,2520246604.1244106
1147,1526774400,2527056827.5319505
1148,1526860800,2529624786.826375
1149,1526947200,2521846683.663291
1150,1527033600,2534032460.137532
1151,1527120000,2542129425.582777
1152,1527206400,2544535009.647337
1153,1527292800,2553260613.319795
1154,1527379200,2545738318.720024
1155,1527465600,2545720655.4441233
1156,1527552000,2556253701.726516
1157,1527638400,2543617943.3621216
1158,1527724800,2543219993.8701935
1159,1527811200,2552454312.7781734
1160,1527897600,2555270491.988691
1161,1527984000,2549983045.4821215
1162,1528070400,2554041785.8558908
1163,1528156800,2557960440.7641654
1164,1528243200,2548864153.683646
1165,1528329600,2546260869.939745
1166,1528416000,2548936547.0008016
1167,1528502400,2554252384.1773925
1168,1528588800,2560065568.2319145
1169,1528675200,2558028653.2237167
1170,1528761600,2556354394.684329
1171,1528848000,2561156505.3399234
1172,1528934400,2559558933.1035075
1173,1529020800,2560749407.748293
1174,1529107200,2656326302.4247904
1175,1529193600,2660996550.720804
1176,1529280000,2669615737.497476
1177,1529366400,2669478974.02896
1178,1529452800,2671603854.275862
1179,1529539200,2666085397.2505956
1180,1529625600,2675481209.54112
1181,1529712000,2690933678.7734966
1182,1529798400,2693932237.1246853
1183,1529884800,2686615165.762981
1184,1529971200,2788312839.2556524
1185,1530057600,2791015004.353167
1186,1530144000,2791611270.0255537
1187,1530230400,2788935323.298091
1188,1530316800,2793850206.4246902
1189,1530403200,2792208590.1932797
1190,1530489600,2792350261.7177544
1191,1530576000,2794992055.5857964
1192,1530662400,2795710838.442441
1193,1530748800,2807505366.9135046
1194,1530835200,2801389901.563774
1195,1530921600,2715670803.3572965
1196,1531008000,2723944349.1293435
1197,1531094400,2697542623.21022
1198,1531180800,2701859298.0442414
1199,1531267200,2709337428.3791275
1200,1531353600,2922702437.1524506
1201,1531440000,2815118580.1501412
1202,1531526400,2954362585.0135155
1203,1531612800,3151852886.5875816
1204,1531699200,3151405794.785813
1205,1531785600,3282620299.778798
1206,1531872000,3163183338.5639143
1207,1531958400,2971227892.0885067
1208,1532044800,3132792453.134427
1209,1532131200,2980326595.555764
1210,1532217600,3318460062.329679
1211,1532304000,3412858512.8897324
1212,1532390400,3519639235.5229096
1213,1532476800,2567909546.6287484
1214,1532563200,2565271640.1751895
1215,1532649600,2566324846.0363708
1216,1532736000,2567173368.9072266
1217,1532822400,2566834506.4196486
1218,1532908800,2561492838.7018123
1219,1532995200,2560176201.195939
1220,1533081600,2511583621.050364
1221,1533168000,2457942376.305729
1222,1533254400,2471202943.8825865
1223,1533340800,2494325578.5324616
1224,1533427200,2487263479.9550185
1225,1533513600,2375972779.487909
1226,1533600000,2688563874.8860536
1227,1533686400,2450055220.826719
1228,1533772800,2736375079.328528
1229,1533859200,2492386163.584168
1230,1533945600,2456861121.8772883
1231,1534032000,2468462783.3344216
1232,1534118400,2436226858.8081293
1233,1534204800,2470259130.746329
1234,1534291200,2507445912.670946
1235,1534377600,2499593413.8784795
1236,1534464000,2470516690.368067
1237,1534550400,2498829066.113523
1238,1534636800,2504165165.6824374
1239,1534723200,2503879990.075393
1240,1534809600,2790351576.3585434
1241,1534896000,2794752088.5051866
1242,1534982400,2784766966.882703
1243,1535068800,2799820982.916524
1244,1535155200,2800276096.9592996
1245,1535241600,2795497758.117579
1246,1535328000,2796534093.1750274
1247,1535414400,2805488740.441244
1248,1535500800,2787932565.3410606
1249,1535587200,2800972033.2127767
1250,1535673600,2794057703.8125353
1251,1535760000,2889465142.836326
1252,1535846400,2888672267.3773623
1253,1535932800,2886282915.1687026
1254,1536019200,2882568614.0649815
1255,1536105600,2884227419.8090587
1256,1536192000,2872116847.8546615
1257,1536278400,2889056676.973027
1258,1536364800,2890135810.1515703
1259,1536451200,2890500160.9050717
1260,1536537600,2900174224.059465
1261,1536624000,2893829302.778899
1262,1536710400,2894380671.068933
1263,1536796800,2893820525.9191194
1264,1536883200,2869585239.759439
1265,1536969600,2871655967.5025105
1266,1537056000,2874731404.5015807
1267,1537142400,2877395425.3684025
1268,1537228800,2875602293.235782
1269,1537315200,2878887458.1728163
1270,1537401600,2882481477.0364923
