,unix,tether_dominance
289,1452643200,100.0
290,1452729600,100.0
291,1452816000,100.0
292,1452902400,100.0
293,1452988800,100.0
294,1453075200,100.0
295,1453161600,100.0
296,1453248000,100.0
297,1453334400,100.0
298,1453420800,100.0
299,1453507200,100.0
300,1453593600,100.0
301,1453680000,100.0
302,1453766400,100.0
303,1453852800,100.0
304,1453939200,100.0
305,1454025600,100.0
306,1454112000,100.0
307,1454198400,100.0
308,1454284800,100.0
309,1454371200,100.0
310,1454457600,100.0
311,1454544000,100.0
312,1454630400,100.0
313,1454716800,100.0
314,1454803200,100.0
315,1454889600,100.0
316,1454976000,100.0
317,1455062400,100.0
318,1455148800,100.0
319,1455235200,100.0
320,1455321600,100.0
321,1455408000,100.0
322,1455494400,100.0
323,1455580800,100.0
324,1455667200,100.0
325,1455753600,100.0
326,1455840000,100.0
327,1455926400,100.0
328,1456012800,100.0
329,1456099200,100.0
330,1456185600,100.0
331,1456272000,100.0
332,1456358400,100.0
333,1456444800,100.0
334,1456531200,100.0
335,1456617600,100.0
336,1456704000,100.0
337,1456790400,100.0
338,1456876800,100.0
339,1456963200,100.0
340,1457049600,100.0
341,1457136000,100.0
342,1457222400,100.0
343,1457308800,100.0
344,1457395200,100.0
345,1457481600,100.0
346,1457568000,100.0
347,1457654400,100.0
348,1457740800,100.0
349,1457827200,100.0
350,1457913600,100.0
351,1458000000,100.0
352,1458086400,100.0
353,1458172800,100.0
354,1458259200,100.0
355,1458345600,100.0
356,1458432000,100.0
357,1458518400,100.0
358,1458604800,100.0
359,1458691200,100.0
360,1458777600,100.0
361,1458864000,100.0
362,1458950400,100.0
363,1459036800,100.0
364,1459123200,100.0
365,1459209600,100.0
366,1459296000,100.0
367,1459382400,100.0
368,1459468800,100.0
369,1459555200,100.0
370,1459641600,100.0
371,1459728000,100.0
372,1459814400,100.0
373,1459900800,100.0
374,1459987200,100.0
375,1460073600,100.0
376,1460160000,100.0
377,1460246400,100.0
378,1460332800,100.0
379,1460419200,100.0
380,1460505600,100.0
381,1460592000,100.0
382,1460678400,100.0
383,1460764800,100.0
384,1460851200,100.0
385,1460937600,100.0
386,1461024000,100.0
387,1461110400,100.0
388,1461196800,100.0
389,1461283200,100.0
390,1461369600,100.0
391,1461456000,100.0
392,1461542400,100.0
393,1461628800,100.0
394,1461715200,100.0
395,1461801600,100.0
396,1461888000,100.0
397,1461974400,100.0
398,1462060800,100.0
399,1462147200,100.0
400,1462233600,100.0
401,1462320000,100.0
402,1462406400,100.0
403,1462492800,100.0
404,1462579200,100.0
405,1462665600,100.0
406,1462752000,100.0
407,1462838400,100.0
408,1462924800,100.0
409,1463011200,100.0
410,1463097600,100.0
411,1463184000,100.0
412,1463270400,100.0
413,1463356800,100.0
414,1463443200,100.0
415,1463529600,100.0
416,1463616000,100.0
417,1463702400,100.0
418,1463788800,100.0
419,1463875200,100.0
420,1463961600,100.0
421,1464048000,100.0
422,1464134400,100.0
423,1464220800,100.0
424,1464307200,100.0
425,1464393600,100.0
426,1464480000,100.0
427,1464566400,100.0
428,1464652800,100.0
429,1464739200,100.0
430,1464825600,100.0
431,1464912000,100.0
432,1464998400,100.0
433,1465084800,100.0
434,1465171200,100.0
435,1465257600,100.0
436,1465344000,100.0
437,1465430400,100.0
438,1465516800,100.0
439,1465603200,100.0
440,1465689600,100.0
441,1465776000,100.0
442,1465862400,100.0
443,1465948800,100.0
444,1466035200,100.0
445,1466121600,100.0
446,1466208000,100.0
447,1466294400,100.0
448,1466380800,100.0
449,1466467200,100.0
450,1466553600,100.0
451,1466640000,100.0
452,1466726400,100.0
453,1466812800,100.0
454,1466899200,100.0
455,1466985600,100.0
456,1467072000,100.0
457,1467158400,100.0
458,1467244800,100.0
459,1467331200,100.0
460,1467417600,100.0
461,1467504000,100.0
462,1467590400,100.0
